drug_id,atc_code
DDInter1362,N06AX01
DDInter1363,R03DA20
DDInter1363,R03DB02
DDInter1363,R03DA02
DDInter1365,G04BD04
DDInter1366,N02AA56
DDInter1366,N02AA05
DDInter1366,N02AA55
DDInter1366,N02AJ18
DDInter1366,N02AJ17
DDInter1366,N02AJ19
DDInter1367,V03AN01
DDInter1371,A14AA05
DDInter1372,N02AA11
DDInter1374,J01AA06
DDInter1374,S01AA04
DDInter1374,J01AA56
DDInter1374,D06AA03
DDInter1374,G01AA07
DDInter1374,J01AA20
DDInter1375,G02AC01
DDInter1375,H01BB02
DDInter1376,L04AA38
DDInter1377,L01CD01
DDInter1379,L01EF01
DDInter138,A07BC54
DDInter138,A07BC04
DDInter1380,V03AF08
DDInter1381,N05AX13
DDInter1382,A04AA55
DDInter1382,A04AA05
DDInter1383,M05BA03
DDInter1384,A09AA02
DDInter1385,M03AC01
DDInter1386,L01FE02
DDInter1387,L01XH03
DDInter1388,A02BD04
DDInter1388,A02BD11
DDInter1388,A02BC02
DDInter1389,G04BE02
DDInter1389,A03AD01
DDInter1389,G04BE52
DDInter139,M01CB03
DDInter1391,N05CC05
DDInter1392,N03AC01
DDInter1393,H05AA03
DDInter1394,H05BX02
DDInter1395,J05AP53
DDInter1395,J05AP52
DDInter1396,A07AA06
DDInter1397,N06AB05
DDInter1398,H01CB05
DDInter14,N02BE71
DDInter14,N02BE01
DDInter14,N02AJ13
DDInter14,N02AJ17
DDInter14,N02BE51
DDInter14,N02AJ06
DDInter14,N02AJ01
DDInter140,M01CB04
DDInter1400,L01EX03
DDInter1401,A07BC01
DDInter1402,L03AX04
DDInter1404,L01XX24
DDInter1405,L03AA13
DDInter1406,B03XA04
DDInter1407,L03AB11
DDInter1407,L03AB61
DDInter1408,L03AB10
DDInter1408,L03AB60
DDInter1409,L03AB13
DDInter141,G04BE10
DDInter1410,M04AX02
DDInter1411,A16AB19
DDInter1412,H01AX01
DDInter1413,L01FF02
DDInter1414,L01BA04
DDInter1415,L01EN02
DDInter1416,N06BA05
DDInter1417,C07CA23
DDInter1417,C07AA23
DDInter1419,M01CC01
DDInter142,L01EX18
DDInter1420,P01CX01
DDInter1421,N02AD01
DDInter1423,N05CB01
DDInter1423,N05CA01
DDInter1424,C05BA04
DDInter1424,G04BX15
DDInter1425,L01XX08
DDInter1426,C04AD03
DDInter1426,R03DA20
DDInter1427,R05DB05
DDInter1428,N03AX22
DDInter143,B02BX08
DDInter1430,N04BC02
DDInter1431,C09BX01
DDInter1431,C09BA04
DDInter1431,C10BX11
DDInter1431,C10BX13
DDInter1431,C09AA04
DDInter1431,C09BX02
DDInter1431,C10BX12
DDInter1431,C09BB04
DDInter1431,C10BX15
DDInter1431,C10BX14
DDInter1431,C09BX04
DDInter1432,N05AB03
DDInter1434,L01FD02
DDInter1434,L01XY02
DDInter1435,L01EX15
DDInter1437,N03AX07
DDInter1438,G04BX06
DDInter144,L01FF04
DDInter1440,N06AF03
DDInter1441,R06AX04
DDInter1442,N05CB01
DDInter1442,N03AA02
DDInter1443,A06AB04
DDInter1444,C04AX02
DDInter1445,J01CR50
DDInter1445,J01CE10
DDInter1445,J01CE02
DDInter1446,N03AD02
DDInter1447,A08AA01
DDInter1448,V03AB36
DDInter1448,C04AB01
DDInter1449,G04BX12
DDInter1451,M01BA01
DDInter1451,M01AA01
DDInter1451,M02AA01
DDInter1452,A16AX03
DDInter1453,S01FB01
DDInter1453,R01AB01
DDInter1453,C01CA06
DDInter1453,R01AA04
DDInter1453,S01FB51
DDInter1453,R01BA53
DDInter1453,S01GA05
DDInter1453,S01GA55
DDInter1453,R01BA03
DDInter1458,R01BA51
DDInter1458,R01BA01
DDInter146,L01XX70
DDInter1460,N03AB02
DDInter1460,N03AB52
DDInter1461,B02BA01
DDInter1462,S01EB05
DDInter1462,V03AB19
DDInter1464,A06AB08
DDInter1464,A06AB58
DDInter1465,N07AX01
DDInter1465,S01EB01
DDInter1465,S01EB51
DDInter1467,N05AX17
DDInter1468,D11AH02
DDInter147,L01EK01
DDInter1470,N05AG02
DDInter1471,C07CA03
DDInter1471,C07AA03
DDInter1472,A10BD09
DDInter1472,A10BG03
DDInter1472,A10BD05
DDInter1472,A10BD06
DDInter1472,A10BD12
DDInter1473,M03AC06
DDInter1474,J01CR50
DDInter1474,J01CA12
DDInter1475,P02CB01
DDInter1476,R03CC07
DDInter1476,R03AC08
DDInter1477,L04AX05
DDInter1478,M01AC01
DDInter1478,M02AA07
DDInter1478,S01BC06
DDInter1479,C10AA08
DDInter148,L01BC07
DDInter1480,N07XX11
DDInter1482,J01GB14
DDInter1483,A06AX07
DDInter1484,L01DC02
DDInter1485,L01FX14
DDInter1489,S02AA11
DDInter1489,S03AA03
DDInter1489,J01XB02
DDInter1489,A07AA05
DDInter1489,S01AA18
DDInter149,R06AX09
DDInter1490,C03AA05
DDInter1490,G01AE10
DDInter1490,C03AB05
DDInter1491,L04AX06
DDInter1492,L01EA05
DDInter1493,L01XD01
DDInter1494,J02AC04
DDInter1495,B05XA17
DDInter1496,A12BA04
DDInter1497,A12BA51
DDInter1497,B05XA01
DDInter1497,A12BA01
DDInter1498,A12BA02
DDInter1499,A12BA05
DDInter15,G01AE10
DDInter15,S01EC01
DDInter150,L04AX01
DDInter1500,S01XA04
DDInter1500,V03AB21
DDInter1500,R05CA02
DDInter1501,H03BC01
DDInter1502,L01BA05
DDInter1503,V03AB04
DDInter1504,L01EX23
DDInter1505,N04BC05
DDInter1506,A10BX05
DDInter1508,B01AC22
DDInter1509,C10AA03
DDInter1509,C10BA11
DDInter1509,C10BA03
DDInter1509,C10BA12
DDInter1509,C10BX02
DDInter151,D10AX03
DDInter1510,P02BA01
DDInter1511,C02LE01
DDInter1511,C02CA01
DDInter1513,D07AA03
DDInter1513,S01CA02
DDInter1513,D07XA02
DDInter1513,A01AC54
DDInter1513,R01AD02
DDInter1513,S01BB02
DDInter1513,R01AD52
DDInter1513,S01CB02
DDInter1513,V03AB05
DDInter1513,S03BA02
